Circuit: * C:\Users\ycay\Desktop\FullBridge_Modulations\Transformless_SP_Inverter\FullBridge_LTspice\UF3C065040K4S\Bipolar_UF3C065040K4S_DeadTime.asc

Instance "m:u4:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u4:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u3:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u3:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u2:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u2:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u1:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u1:m1:1": Length shorter than recommended for a level 3 MOSFET.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 5.31476e-006 to 5.31976e-006
Heightened Def Con from 2.53411e-005 to 2.53461e-005
Heightened Def Con from 3.52608e-005 to 3.52658e-005
Heightened Def Con from 4.51556e-005 to 4.51596e-005
Heightened Def Con from 4.51646e-005 to 4.51686e-005
Heightened Def Con from 5.52342e-005 to 5.52392e-005
Heightened Def Con from 6.51832e-005 to 6.51872e-005
Heightened Def Con from 6.51917e-005 to 6.51957e-005
Heightened Def Con from 7.52073e-005 to 7.52123e-005
Heightened Def Con from 8.54229e-005 to 8.54279e-005
Heightened Def Con from 9.51807e-005 to 9.51857e-005
Heightened Def Con from 0.00010545 to 0.000105455
Heightened Def Con from 0.000115152 to 0.000115157
Heightened Def Con from 0.000125477 to 0.000125482
Heightened Def Con from 0.000135128 to 0.000135133
Heightened Def Con from 0.000145504 to 0.000145509
Heightened Def Con from 0.0001551 to 0.000155105
Heightened Def Con from 0.000165531 to 0.000165536
Heightened Def Con from 0.000175073 to 0.000175078
Heightened Def Con from 0.000185557 to 0.000185562
Heightened Def Con from 0.000195046 to 0.000195051
Heightened Def Con from 0.000205585 to 0.00020559
Heightened Def Con from 0.000215019 to 0.000215024
Heightened Def Con from 0.000225612 to 0.000225617
