Circuit: * C:\Users\ycay\Desktop\FullBridge_Modulations\Transformless_SP_Inverter\FullBridge_LTspice\UF3C065040K4S\Unipolar_UF3C065040K4S_DeadTime.asc

Instance "m:u4:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u4:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u3:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u3:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u2:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u2:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u1:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u1:m1:1": Length shorter than recommended for a level 3 MOSFET.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 5.07485e-006 to 5.08085e-006
Heightened Def Con from 5.08093e-006 to 5.08131e-006
Heightened Def Con from 5.08174e-006 to 5.08787e-006
Heightened Def Con from 5.08839e-006 to 5.09339e-006
Heightened Def Con from 5.09446e-006 to 5.09846e-006
Heightened Def Con from 1.50615e-005 to 1.50715e-005
Heightened Def Con from 1.51018e-005 to 1.51069e-005
Heightened Def Con from 1.51077e-005 to 1.51117e-005
Heightened Def Con from 2.50483e-005 to 2.50533e-005
Heightened Def Con from 2.50546e-005 to 2.50586e-005
Heightened Def Con from 2.51153e-005 to 2.51313e-005
Heightened Def Con from 3.50347e-005 to 3.50387e-005
Heightened Def Con from 3.50412e-005 to 3.50452e-005
Heightened Def Con from 3.51291e-005 to 3.51431e-005
Heightened Def Con from 4.502e-005 to 4.5024e-005
Heightened Def Con from 4.50267e-005 to 4.50307e-005
Heightened Def Con from 5.5008e-005 to 5.5013e-005
Heightened Def Con from 5.50147e-005 to 5.50187e-005
Heightened Def Con from 6.49947e-005 to 6.49997e-005
Heightened Def Con from 6.50015e-005 to 6.50045e-005
Heightened Def Con from 7.49811e-005 to 7.49851e-005
Heightened Def Con from 7.49879e-005 to 7.49919e-005
Heightened Def Con from 8.49678e-005 to 8.49718e-005
Heightened Def Con from 8.49746e-005 to 8.49786e-005
Heightened Def Con from 9.49544e-005 to 9.49584e-005
Heightened Def Con from 9.49613e-005 to 9.49653e-005
Heightened Def Con from 0.000104941 to 0.000104945
Heightened Def Con from 0.000104948 to 0.000104952
Heightened Def Con from 0.000114928 to 0.000114932
Heightened Def Con from 0.000114935 to 0.000114939
Heightened Def Con from 0.000124914 to 0.000124918
Heightened Def Con from 0.000124921 to 0.000124925
Heightened Def Con from 0.0001349 to 0.000134904
Heightened Def Con from 0.000134907 to 0.000134911
Heightened Def Con from 0.000144887 to 0.000144891
Heightened Def Con from 0.000144894 to 0.000144898
Heightened Def Con from 0.000154875 to 0.000154879
Heightened Def Con from 0.000154882 to 0.000154886
Heightened Def Con from 0.000164861 to 0.000164865
Heightened Def Con from 0.000164868 to 0.000164872
Heightened Def Con from 0.000174847 to 0.000174851
Heightened Def Con from 0.000174854 to 0.000174858
Heightened Def Con from 0.000184834 to 0.000184838
Heightened Def Con from 0.000184841 to 0.000184845
Heightened Def Con from 0.00019482 to 0.000194824
Heightened Def Con from 0.000194827 to 0.000194831
Heightened Def Con from 0.000204807 to 0.000204811
Heightened Def Con from 0.000204814 to 0.000204818
Heightened Def Con from 0.000214794 to 0.000214798
Heightened Def Con from 0.000214801 to 0.000214805
Heightened Def Con from 0.00022478 to 0.000224784
Heightened Def Con from 0.000224787 to 0.000224791
Heightened Def Con from 0.000234768 to 0.000234772
Heightened Def Con from 0.000234775 to 0.000234779
Heightened Def Con from 0.000244753 to 0.000244757
Heightened Def Con from 0.00024476 to 0.000244764
Heightened Def Con from 0.00025474 to 0.000254744
Heightened Def Con from 0.000254747 to 0.000254751
Heightened Def Con from 0.000264727 to 0.000264731
Heightened Def Con from 0.000264734 to 0.000264738
Heightened Def Con from 0.000265664 to 0.000265665
Heightened Def Con from 0.000265665 to 0.000265673
Heightened Def Con from 0.000274713 to 0.000274717
Heightened Def Con from 0.000274721 to 0.000274725
Heightened Def Con from 0.000275676 to 0.0002757
Heightened Def Con from 0.0002847 to 0.000284704
Heightened Def Con from 0.000284707 to 0.000284711
Heightened Def Con from 0.000285691 to 0.000285699
Heightened Def Con from 0.000294687 to 0.000294691
Heightened Def Con from 0.000294694 to 0.000294698
Heightened Def Con from 0.000295703 to 0.00029571
Heightened Def Con from 0.000304673 to 0.000304677
Heightened Def Con from 0.000304681 to 0.000304685
Heightened Def Con from 0.000305718 to 0.000305723
Heightened Def Con from 0.00031466 to 0.000314664
Heightened Def Con from 0.000314667 to 0.000314671
Heightened Def Con from 0.00031573 to 0.000315736
Heightened Def Con from 0.000324647 to 0.000324651
Heightened Def Con from 0.000324654 to 0.000324658
Heightened Def Con from 0.000325744 to 0.00032575
Heightened Def Con from 0.000334633 to 0.000334637
Heightened Def Con from 0.00033464 to 0.000334644
Heightened Def Con from 0.000335757 to 0.000335763
Heightened Def Con from 0.00034462 to 0.000344624
Heightened Def Con from 0.000344627 to 0.000344631
Heightened Def Con from 0.000345771 to 0.000345776
Heightened Def Con from 0.000354606 to 0.00035461
Heightened Def Con from 0.000354614 to 0.000354618
Heightened Def Con from 0.000355783 to 0.000355787
Heightened Def Con from 0.000364593 to 0.000364597
Heightened Def Con from 0.000364601 to 0.000364605
Heightened Def Con from 0.000365798 to 0.000365804
Heightened Def Con from 0.00037458 to 0.000374584
Heightened Def Con from 0.000374587 to 0.000374591
Heightened Def Con from 0.00037581 to 0.000375817
Heightened Def Con from 0.000384567 to 0.000384571
Heightened Def Con from 0.000384574 to 0.000384577
Heightened Def Con from 0.000385824 to 0.000385829
Heightened Def Con from 0.000394553 to 0.000394557
Heightened Def Con from 0.00039456 to 0.000394564
Heightened Def Con from 0.000395836 to 0.000395843
Heightened Def Con from 0.000404541 to 0.000404545
Heightened Def Con from 0.000404549 to 0.000404549
Heightened Def Con from 0.00040455 to 0.000404554
Heightened Def Con from 0.000405851 to 0.000405856
Heightened Def Con from 0.000414528 to 0.000414532
Heightened Def Con from 0.000414535 to 0.000414539
Heightened Def Con from 0.000415863 to 0.000415869
Heightened Def Con from 0.000424513 to 0.000424517
Heightened Def Con from 0.000424521 to 0.000424525
Heightened Def Con from 0.000425878 to 0.000425883
Heightened Def Con from 0.0004345 to 0.000434504
Heightened Def Con from 0.000434507 to 0.000434511
Heightened Def Con from 0.00043589 to 0.000435894
Heightened Def Con from 0.000444487 to 0.000444491
Heightened Def Con from 0.000444494 to 0.000444498
Heightened Def Con from 0.000445904 to 0.000445909
Heightened Def Con from 0.000454474 to 0.000454478
Heightened Def Con from 0.000454481 to 0.000454485
Heightened Def Con from 0.000455916 to 0.00045592
Heightened Def Con from 0.00046446 to 0.000464464
Heightened Def Con from 0.000464468 to 0.000464472
Heightened Def Con from 0.000465931 to 0.000465936
Heightened Def Con from 0.000474446 to 0.00047445
Heightened Def Con from 0.000474454 to 0.000474458
Heightened Def Con from 0.000475943 to 0.000475947
Heightened Def Con from 0.000484434 to 0.000484438
Heightened Def Con from 0.000484441 to 0.000484445
Heightened Def Con from 0.000485957 to 0.000485962
Heightened Def Con from 0.000494421 to 0.000494425
Heightened Def Con from 0.000494428 to 0.000494432
Heightened Def Con from 0.000495969 to 0.000495975
