Circuit: * C:\Users\ycay\Desktop\FullBridge_Modulations\Transformless_SP_Inverter\FullBridge_LTspice\UJ4C075018K4S\Bipolar_UJ4C075018K4S_DeadTime.asc

Instance "m:u4:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u4:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u3:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u3:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u2:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u2:m1:1": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u1:m1:2": Length shorter than recommended for a level 3 MOSFET.
Instance "m:u1:m1:1": Length shorter than recommended for a level 3 MOSFET.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 5.11819e-006 to 5.12019e-006
Heightened Def Con from 5.51677e-006 to 5.52177e-006
Heightened Def Con from 1.51024e-005 to 1.51064e-005
Heightened Def Con from 1.51163e-005 to 1.51203e-005
Heightened Def Con from 2.55444e-005 to 2.55494e-005
Heightened Def Con from 3.50752e-005 to 3.50792e-005
Heightened Def Con from 3.5088e-005 to 3.5092e-005
Heightened Def Con from 4.55722e-005 to 4.55772e-005
Heightened Def Con from 5.50476e-005 to 5.50516e-005
Heightened Def Con from 5.50593e-005 to 5.50633e-005
Heightened Def Con from 6.55995e-005 to 6.56045e-005
Heightened Def Con from 8.56267e-005 to 8.56317e-005
Heightened Def Con from 9.53789e-005 to 9.53839e-005
Heightened Def Con from 0.000105653 to 0.000105658
Heightened Def Con from 0.000115354 to 0.000115359
Heightened Def Con from 0.000125681 to 0.000125686
Heightened Def Con from 0.000135326 to 0.000135331
Heightened Def Con from 0.00014571 to 0.000145715
Heightened Def Con from 0.000155299 to 0.000155304
Heightened Def Con from 0.000165736 to 0.000165741
Heightened Def Con from 0.000175273 to 0.000175278
Heightened Def Con from 0.000185765 to 0.00018577
Heightened Def Con from 0.000195243 to 0.000195248
Heightened Def Con from 0.000205791 to 0.000205796
Heightened Def Con from 0.000215217 to 0.000215222
Heightened Def Con from 0.000225819 to 0.000225824
Heightened Def Con from 0.000235189 to 0.000235194
Heightened Def Con from 0.000245845 to 0.00024585
Heightened Def Con from 0.000255162 to 0.000255167
Heightened Def Con from 0.000265873 to 0.000265878
Heightened Def Con from 0.000275135 to 0.00027514
Heightened Def Con from 0.0002859 to 0.000285905
Heightened Def Con from 0.000295107 to 0.000295112
Heightened Def Con from 0.000305928 to 0.000305933
Heightened Def Con from 0.000315081 to 0.000315086
Heightened Def Con from 0.000325955 to 0.00032596
Heightened Def Con from 0.000335054 to 0.000335059
Heightened Def Con from 0.000345982 to 0.000345987
Heightened Def Con from 0.000355025 to 0.00035503
Heightened Def Con from 0.000366009 to 0.000366014
Heightened Def Con from 0.000374997 to 0.000375002
Heightened Def Con from 0.000386036 to 0.000386041
Heightened Def Con from 0.000394972 to 0.000394977
Heightened Def Con from 0.000406064 to 0.000406069
Heightened Def Con from 0.000414945 to 0.000414951
Heightened Def Con from 0.000426091 to 0.000426096
Heightened Def Con from 0.000446118 to 0.000446123
Heightened Def Con from 0.000466145 to 0.00046615
Heightened Def Con from 0.000486172 to 0.000486177
Heightened Def Con from 0.000506201 to 0.000506206
Heightened Def Con from 0.000514422 to 0.000514437
Heightened Def Con from 0.000526226 to 0.000526231
Heightened Def Con from 0.000534394 to 0.0005344
Heightened Def Con from 0.000534403 to 0.000534407
Heightened Def Con from 0.000546254 to 0.000546259
Heightened Def Con from 0.000554369 to 0.000554373
Heightened Def Con from 0.000554379 to 0.000554383
Heightened Def Con from 0.00056628 to 0.000566285
Heightened Def Con from 0.000574341 to 0.000574345
Heightened Def Con from 0.000574351 to 0.000574355
